"Manufacturer","Model","SKU","Description","Finish","Diameter","Width","Bolt Pattern","Offset","Backspace","GTIN","Bore","Lugs","Lug Type","Max Load lbs","Cost","AC-EDM","AC-OAK","MAP","Image 1","Image 2","Image 3","Image 4","Image 5","Image 6"
"GT OFFROAD","STARK","GT127241251121","STARK 24x12 5x127/5x139.7 -44 Chrome","Chrome","24","12","5x127/5x139.7","-44","4.75","","78.1","0","2500","2500","496.5","49","0","662","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/095fa7c7-4309-4c06-b2fc-5cfee3fd73b5.png","","","","",""
"GT OFFROAD","STARK","GT127241281123","STARK 24x12 8x165.1/8x170 -44 Chrome","Chrome","24","12","8x165.1/8x170","-44","4.75","","125.2","8","3200","3200","496.5","0","0","662","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/095fa7c7-4309-4c06-b2fc-5cfee3fd73b5.png","","","","",""
"GT OFFROAD","INVASION","GT7218961122","INVASION 18x9 6x135/6x139.7 12 Gloss Black Milled","Gloss Black Milled","18","9","6x135/6x139.7","12","5.5","","106.1","6","","2500","206.25","97","0","275","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/ebaa9cb4-4585-4997-be1e-c7c836ee13a3.png","","","","",""
"GT OFFROAD","STRIKE","GT9726121444","STRIKE 26x12 5x127 -44 Chrome","Chrome","26","12","5x127","-44","4.75","","87.1","0","2500","2500","592.5","2","-5","790","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/dc76a08c-b12b-4966-905d-03a5c3b267e9.png","","","","",""
"GT OFFROAD","AGGRESSION","GT820906139712GBML","GT OFFROAD AGGRESSION 20x9 6x139.7 12 Gloss Black Milled","Gloss Black Milled","20","9","6x139.7","12","5.5","","106.1","6","","2500","247.5","0","0","330","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/c52a8181-ffac-4288-8be2-832203941547.png","","","","",""
"GT OFFROAD","AGGRESSION","GT82212613544GBML","AGGRESSION 22x12 6x135 -44 Gloss Black Milled","Gloss Black Milled","22","12","6x135","-44","4.75","","87.1","6","","2500","299.25","32","4","399","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/c52a8181-ffac-4288-8be2-832203941547.png","","","","",""
"GT OFFROAD","STRIKE","GT9426123444","STRIKE 26x12 6x135 -44 Gloss Black","Gloss Black","26","12","6x135","-44","4.75","","87.1","6","2500","2500","400.5","100","4","534","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/eb46943e-c446-43a8-a715-64b23a9c95bf.png","","","","",""
"GT OFFROAD","STRIKE","GT9209818012P","STRIKE 20x9 8x180 12 Polished","Polished","20","9","8x180","12","5.5","","125.2","8","3200","3200","262.5","38","0","350","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/effb6b10-aac8-4999-8150-aaa67ed2f162.png","","","","",""
"GT OFFROAD","INVASION","GT72098165112SB","INVASION 20x9 8x165.1 12 Satin Black","Satin Black","20","9","8x165.1","12","5.5","","125.2","8","","3200","247.5","71","4","330","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/3d34923b-b070-453f-974e-6da37866bdfe.webp","","","","",""
"GT OFFROAD","INVASION","GT720108165118SB","INVASION 20x10 8x165.1 -18 Satin Black","Satin Black","20","10","8x165.1","-18","4.75","","125.2","8","","3200","260.25","52","4","347","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/3d34923b-b070-453f-974e-6da37866bdfe.webp","","","","",""
